# Design Points of Design of Experiments
# Latin Hypercube Sampling Design : User-Defined Samples : Random Generator Seed = 0 : Number of Samples = 50
# ,P1 - rotor_thickness (mm) ,P2 - rotor_OD (mm) ,P3 - rotor_ID (mm) ,P4 - Equivalent Stress Maximum (Pa) ,P5 - Total Deformation Reported Frequency (Hz) ,P7 - Solid Volume (m^3) ,P8 - Temperature Maximum (C) 
Name,P1,P2,P3,P4,P5,P7,P8
1,13.400000000000002,124.42,85.4,11776116.7196893,1241.0272736380937,0.00059356926052528446,434.87750244140625
2,17.000000000000004,127.9,74.2,11477293.46014102,1398.1680752374095,0.00078813226006794166,377.682373046875
3,6.6,129.1,67.8,10847692.278255856,873.16199368411674,0.00043746992488821773,732.29364013671875
4,15.000000000000002,127.54,85.000000000000014,11730357.279038334,1229.6095568466069,0.000673468790335412,402.4036865234375
5,7.4,125.38,69.4,10995317.732947359,1058.9259263632166,0.00044590133929439918,670.85504150390625
6,24.600000000000009,125.86,78.2,11213562.249171967,1506.8236521067772,0.00097410889079633579,335.56454467773438
7,14.600000000000001,128.38,84.200000000000017,11203754.70451092,1231.5637997600088,0.0006751698943962748,408.08761596679688
8,24.20000000000001,127.66,66.2,11720715.345896835,1576.8466998837278,0.0010879064601846929,335.767822265625
9,9.8,126.22,72.2,11176831.905068228,1215.591696518489,0.00053172069629742766,534.06768798828125
10,8.6,129.94,68.2,11477784.880955063,982.76711985287727,0.00051901123443150177,587.2447509765625
11,11.399999999999999,124.06,69,11169159.612717617,1294.705085186192,0.00057180339329739819,484.92034912109375
12,8.2,126.94,75,11267606.027328733,1173.425212546814,0.00048147377185611386,612.5980224609375
13,13,126.7,71.4,11167249.321552344,1315.1298049596166,0.000646442033161327,438.3731689453125
14,18.200000000000003,129.58,73.4,11479290.28035946,1389.3424602992814,0.00085779609849235227,366.09323120117188
15,11,125.14,85.800000000000011,11188763.868084634,1218.9983732516744,0.000537197815782788,493.18655395507813
16,21.800000000000008,128.74,82.600000000000009,11660502.638680886,1330.4171793659013,0.00090627270531407837,343.91680908203125
17,21.000000000000007,127.06,69.8,11641750.454370676,1523.3420308779569,0.00093739305171224312,348.73614501953125
18,16.6,129.7,81.800000000000011,11699734.682458658,1269.9891325546059,0.00076382582053897009,381.64553833007813
19,7.8,126.46,77.4,10867573.07704572,1207.4007434378539,0.00046473422567399041,639.2518310546875
20,7,129.82,79,10910179.125270674,1099.6096616822147,0.00045872162046418918,695.856201171875
21,12.600000000000001,127.78,75.8,11317514.237430394,1298.9193987670515,0.00063292886141674452,446.13998413085938
22,22.200000000000006,125.02,82.2,11704399.991415134,1390.0284859744388,0.00085581181328031326,344.5933837890625
23,25.000000000000011,129.22,80.2,11885113.876981338,1417.5056145441158,0.0010359383239815689,333.044921875
24,9,124.78,73.8,11093019.655910933,1251.8147950001824,0.00049338610711362045,574.413330078125
25,19.400000000000006,127.18,68.6,11083616.041523192,1475.6116301101019,0.00088878600646619479,357.99063110351563
26,16.200000000000003,126.34,77,11624954.394570611,1395.6324843789032,0.0007288535442661171,387.6519775390625
27,20.600000000000009,126.1,80.600000000000009,11651632.296911968,1390.3020813598712,0.00083976879639125791,351.22109985351563
28,17.800000000000004,124.9,71.8,11362951.770689813,1498.5678569580271,0.00078444973542488592,373.01806640625
29,25.400000000000009,125.98,67.4,11332590.925277291,1656.4486210418761,0.0010898658986660977,333.51309204101563
30,11.8,128.62,76.600000000000009,11146843.554714205,1259.8351857602001,0.00061259242135951577,465.31356811523438
31,19.800000000000004,128.98,71,12010291.053837907,1447.0250681634113,0.00091894048101009149,354.5855712890625
32,21.400000000000006,128.5,67,11404373.22009672,1486.0255739341696,0.00099295549311812512,345.61105346679688
33,13.8,126.58,78.600000000000009,11259248.217837593,1338.2674063877994,0.00065071620867095711,422.85037231445313
34,22.600000000000009,128.26,81.4,11711353.28374107,1370.7267615399012,0.000931583656778991,340.71218872070313
35,12.2,128.86,77.800000000000011,11034318.480458472,1265.6721292313171,0.00062550469137813175,454.96560668945313
36,10.2,124.54,70.2,11279115.996434242,1249.6799080574376,0.0005341441083040366,522.99658203125
37,23.800000000000008,127.3,76.2,11533676.87408858,1506.5980399242071,0.00099296265594937534,337.08731079101563
38,23.400000000000009,125.5,81,11676212.193583608,1427.4240174653955,0.00090810390297805317,339.48526000976563
39,15.800000000000002,124.18,75.4,11193494.100733411,1451.2834428960768,0.00069590014490501946,396.72457885742188
40,25.800000000000004,129.46,79.4,12065278.512072293,1446.1515826891664,0.0010742346691757034,331.06155395507813
41,15.400000000000002,125.62,73,11285689.645528728,1420.9336031751293,0.00071006691771268642,398.81906127929688
42,14.200000000000001,129.34,72.6,11058808.420238195,1293.2724119105694,0.00071422058625201818,414.06515502929688
43,18.600000000000005,124.66,70.6,11353362.757051084,1525.86012276252,0.00081318195065592427,366.7015380859375
44,9.3999999999999986,125.74,83,11540822.535778331,1253.8217424777151,0.00050338539390348217,552.20855712890625
45,20.200000000000006,125.26,84.600000000000009,11894083.893689265,1307.3887831550223,0.00078739475083499115,354.90753173828125
46,19.000000000000007,128.02,83.800000000000011,11437976.079523403,1282.72862778072,0.00080199873984624043,360.32611083984375
47,23.000000000000007,124.3,74.6,11450649.498330213,1577.784101639731,0.00092417296090560553,342.79693603515625
48,17.400000000000006,126.82000000000001,66.6,11634873.471124731,1401.8267200097644,0.00082006152837263934,374.59988403320313
49,10.6,128.14000000000001,83.4,10833330.009260803,1217.9764001606256,0.0005565783013654382,501.78494262695313
50,6.2,127.42,79.800000000000011,10613963.197834102,1140.9598476596504,0.000420425715595681,775.11968994140625
